departamento;t_completo;t_ocasional;hora_catedra;anio;periodo;formacion
11;1;0;0;2013;1;1
11;9;1;3;2013;1;2
11;0;0;0;2013;1;3
11;0;0;3;2013;1;4
12;1;0;0;2013;1;1
12;2;0;0;2013;1;2
12;2;2;1;2013;1;3
12;0;0;1;2013;1;4
13;5;0;0;2013;1;1
13;9;4;9;2013;1;2
13;1;1;22;2013;1;3
13;0;1;40;2013;1;4
14;2;0;0;2013;1;1
14;5;0;9;2013;1;2
14;0;1;4;2013;1;3
14;0;1;6;2013;1;4
15;1;0;0;2013;1;1
15;6;0;1;2013;1;2
15;0;0;2;2013;1;3
15;0;1;0;2013;1;4
18;5;0;1;2013;1;1
18;5;3;3;2013;1;2
18;2;0;1;2013;1;3
18;0;0;7;2013;1;4
19;5;0;0;2013;1;1
19;4;0;5;2013;1;2
19;1;0;3;2013;1;3
19;0;0;6;2013;1;4
20;2;0;0;2013;1;1
20;20;1;9;2013;1;2
20;3;0;20;2013;1;3
20;0;0;6;2013;1;4
21;6;1;0;2013;1;1
21;5;1;5;2013;1;2
21;0;0;5;2013;1;3
21;0;0;7;2013;1;4
28;3;0;0;2013;1;1
28;4;1;2;2013;1;2
28;1;0;6;2013;1;3
28;0;1;0;2013;1;4
29;0;0;0;2013;1;1
29;4;0;1;2013;1;2
29;3;0;6;2013;1;3
29;1;2;5;2013;1;4
30;1;0;0;2013;1;1
30;2;0;0;2013;1;2
30;1;0;1;2013;1;3
30;1;3;2;2013;1;4
22;2;0;0;2013;1;1
22;5;0;3;2013;1;2
22;2;0;11;2013;1;3
22;0;0;6;2013;1;4
23;5;0;1;2013;1;1
23;8;2;11;2013;1;2
23;1;0;1;2013;1;3
23;0;0;0;2013;1;4
24;1;0;0;2013;1;1
24;4;0;1;2013;1;2
24;5;1;7;2013;1;3
24;1;0;3;2013;1;4
25;1;0;0;2013;1;1
25;8;0;8;2013;1;2
25;0;3;13;2013;1;3
25;0;1;1;2013;1;4
26;2;0;0;2013;1;1
26;6;0;0;2013;1;2
26;0;1;2;2013;1;3
26;0;1;4;2013;1;4
27;2;0;1;2013;1;1
27;5;0;1;2013;1;2
27;0;1;2;2013;1;3
27;0;1;5;2013;1;4
4;0;0;0;2013;2;1
4;4;0;2;2013;2;2
4;1;2;4;2013;2;3
4;1;0;5;2013;2;4
1;3;0;0;2013;2;1
1;4;0;4;2013;2;2
1;4;0;8;2013;2;3
1;1;0;4;2013;2;4
2;2;0;0;2013;2;1
2;4;0;1;2013;2;2
2;3;3;11;2013;2;3
2;1;1;8;2013;2;4
3;0;0;0;2013;2;1
3;5;0;4;2013;2;2
3;1;1;5;2013;2;3
